sitename :,bullshoals
years: ,2013,2018
lat: ,36.562833,lon: ,-93.06663

date,tmin,tmax,vpd,sm,srad,dl,swe,prcp,MAP_worldclim,MAT_worldclim,GLDAS_soilfraction_clay,GLDAS_soilfraction_sand,GLDAS_soilfraction_silt,GLDAS_porosity,GLDAS_soiltex,gcc,rcc,gcc_lowess,rcc_lowess,gcc_norm,rcc_norm,gcc_lowess_norm,rcc_lowess_norm
2013-03-01,-0.99,2.27,71.7668541712851,1.6971111111111112,126.71,11.171961111111113,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-02,-2.52,3.33,121.7074796432026,1.6051555555555557,221.87,11.210413888888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-03,-6.36,12.3,376.1027882440631,1.5132,451.08,11.249013888888888,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-04,-1.45,16.83,500.294938228656,1.4212444444444443,446.61,11.28775277777778,0.0,1.25,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-05,0.77,9.22,225.87854943369143,1.370955555555556,306.36,11.32662222222222,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-06,-3.6,7.95,246.35474052821405,1.277611111111111,386.13,11.36561388888889,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-07,-2.39,14.19,415.6743192166337,1.1851222222222222,449.66,11.404719444444444,0.0,0.0,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-08,-0.47,14.92,426.7583963054926,1.0951666666666668,440.56,11.443930555555555,0.0,1.45,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-09,2.92,19.81,590.5922475732216,1.0535444444444442,335.73,11.483241666666666,0.0,17.36,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-03-10,5.55,15.41,361.1193952849035,1.5406444444444447,260.33,11.522641666666669,0.0,14.14,1084.0,13.9,0.219999999,0.49000001,0.280000001,0.446999997,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
